"visit_date";"utm_source";"utm_medium";"utm_campaign";"visitors_count";"total_cost";"leads_count";"purchases_count";"revenue"
2023-06-10;telegram;cpp;dod-frontend;1;;0;126;
2023-06-10;telegram;cpp;intensive-python;1;;0;126;
2023-06-10;telegram;cpp;prof-data-analytics;1;;0;126;
2023-06-10;telegram;cpp;prof-python;1;;0;126;
2023-06-10;telegram;social;course_completed;1;;0;126;
2023-06-10;telegram;social;hexlet-blog;1;;0;126;
2023-06-10;telegram;social;typescript;1;;0;126;
2023-06-10;twitter;social;promo;1;;0;126;
2023-06-10;vk;cpc;freemium;1;;0;126;
2023-06-10;vk;cpc;yaintern;1;;0;126;
2023-06-10;vk;social;all-courses;1;;0;126;
2023-06-10;vk;social;base-frontend;1;;0;126;
2023-06-11;vk;cpc;freemium-frontend;212;2533;0;126;
2023-06-11;vk;cpc;prof-python;187;5076;0;126;
2023-06-11;vk;cpc;prof-java;147;3781;0;126;
2023-06-11;vk;cpc;prof-data-analytics;141;4569;0;126;
2023-06-11;vk;cpc;freemium-java;126;2916;0;126;
